,repository_name,language
196,AIOpsLab,Python
197,aip,
198,AirbandData,
199,AIReferenceArchitectures,
200,airflow-providers-microsoft-fabric,Python
201,AirSim,C++
202,AirSim-Drone-Racing-Lab,Python
203,AirSim-Drone-Racing-Lab-Source,C++
204,AirSim-Drone-Racing-VAE-Imitation,Python
205,AirSim-NeurIPS2019-Drone-Racing,Python
206,AISchoolTutorials,C#
207,aisdkforsapabap,ABAP
208,AISkillsForWindows,
209,aitour-advanced-coding-visual-studio-and-github-copilot,C#
210,aitour-ai-agents-theater-session,HTML
211,aitour-ai-and-low-code-innovation,
212,aitour-ai-apps-with-scalable-database,Jupyter Notebook
213,aitour-ai-readiness-with-azure,
214,aitour-azure-openai-assistants,Python
215,aitour-blueprint-to-transform-business,
216,aitour-build-a-copilot-on-azure-ai,
217,aitour-build-your-first-agent-with-azure-ai-agent-service,
218,aitour-building-copilots-with-copilot-studio,C#
219,aitour-buisness-impact-of-intelligent-apps,
220,aitour-cloud-native-apps-with-azure-ai-and-aks,HCL
221,aitour-concept-to-creation-ai-studio,Jupyter Notebook
222,aitour-copilot-implementation-essentials,
223,aitour-copilot-security-practices,
224,aitour-copilot-studio-agents-and-experiences,
225,aitour-customizing-microsoft-copilot,TypeScript
226,aitour-customizing-trustworthy-gen-ai-systems-with-azure-open-ai,
227,aitour-data-analytics-for-ai-innovation,
228,aitour-data-security-for-ai,
229,aitour-e2e-dev-with-prompty-and-ai-studio,Python
230,aitour-ecommerce-app-with-ai,C#
231,aitour-eshop-api,C#
232,aitour-Essential-Prompting-for-GitHub-Copilot-in-VS-Code,JavaScript
233,aitour-Essential-Prompting-for-GitHub-Copilot-in-VS-Code-v2,
234,aitour-exploring-cutting-edge-models,C++
235,aitour-generative-ai-in-azure,Shell
236,aitour-get-started-with-fabric,
237,aitour-getting-started-with-ai-agents,Jupyter Notebook
238,aitour-github-advanced-security-workflow,JavaScript
239,aitour-interact-with-llms,
240,aitour-leveraging-ai-for-infrastructure-management,Dockerfile
241,aitour-llmops-with-gen-ai-tools,
242,aitour-models-as-a-service-15-minute-theatre-talk,Python
243,aitour-modern-security-with-copilot,
244,aitour-operate-ai-responsibly-with-ai-studio,Jupyter Notebook
245,aitour-opimizing-your-ai-costs,PostScript
246,aitour-preparing-for-ai-workloads,
247,aitour-rag-with-ai-search,
248,aitour-reimagine-fabric-intelligence,
249,aitour-repo-principal-list,
250,aitour-secure-future-in-ai-age,
251,aitour-securing-ai-apps-on-azure,
252,aitour-unlock-value-with-copilot,
253,aitour-whats-new-with-fabric,
254,aitour-windows-theater,C#
255,aitour-writing-assistant-with-azure-openai,
256,AIVisualProvision,C#
257,AI_Agents_Hackathon,
258,ajaxmin,C#
259,aka,
260,Akal-Badi-ya-Bias,Python
261,Akoustos,Jupyter Notebook
262,AKS-Arc-Apps,PowerShell
263,aks-dev-day,HTML
264,aks-ingress-contour-cert-manager-lets-encrypt,Shell
265,aks-postgre-keyrotation,Shell
266,AKSDeploymentTutorial,Jupyter Notebook
267,aksworkshop,CSS
268,AL,PowerShell
269,AL-Go,PowerShell
270,AL-Go-Actions,PowerShell
271,AL-Go-AppSource,PowerShell
272,AL-Go-AppSource-Preview,PowerShell
273,AL-Go-PTE,PowerShell
274,AL-Go-PTE-Preview,PowerShell
275,ALAppExtensions,AL
276,ALEX,C++
277,alguidelines,SCSS
278,AliveInLean,Lean
279,all-things-azure,Python
280,Aly-Profile,
281,Alympics,Python
282,AmbariBasedHadoopExporter,C#
283,AMBROSIA,C#
284,Americas-Power-Platform-Global-Black-Belts,
285,amf0,Go
286,aml-acceleration-template,Python
287,aml-pipelines-demo,Python
288,amlFilesystem-lustre,C
289,amlFilesystem-tools,Shell
290,AMLSDKRModelsOperationalization,HTML
291,AMLWorkshop,Jupyter Notebook
292,AML_Interpret_usecases,Jupyter Notebook
293,AMOS,Python
294,amplify,Shell
295,AMRL-ICLR2020,Python
296,amudai,Rust
297,analysing_pii_leakage,Python
298,Analysis-Framework-for-TVM,Python
299,Analysis-Services,C#
300,analyzer-for-robot-teaching-demonstrations,Python
301,AnanthaRekha,C#
302,ANCE,Python
303,android-app-size-diff,TypeScript
304,android-samples,Kotlin
305,Angara,F#
306,Angara.Chart,F#
307,Angara.Flow,F#
308,Angara.Serialization,F#
309,Angara.Statistics,F#
310,Angara.Table,F#
311,angle,
312,angular-react,TypeScript
313,angular2-in-visual-studio,TypeScript
314,angular2-slickgrid,TypeScript
315,AngularLanguageServiceExtFeedback,
316,Annotation-Factory,Python
317,anomaly-detector,Python
318,anomalydetector,Python
319,AnsibleLabs,Python
320,antares,C++
321,AnyContainer,C#
322,anymatch,JavaScript
323,aoai-api-simulator,Python
324,aoai-batch-buddy,C#
325,aoai-enrichment,
326,aoai-logging-with-apim,C#
327,aoai-realtime-multi-assistants,TypeScript
328,aoai-virtual-assistant,JavaScript
329,AOCoptimizer.jl,Julia
330,aosm-values-merge,PowerShell
331,apache-airflow-microsoft-fabric-plugin,Python
332,Apache-Provider,C++
333,apex,Python
334,apex_plus,Python
335,api-docs-ui,TypeScript
336,api-extractor.com-website,SCSS
337,api-guidelines,
338,api.rushstack.io-website,
339,apim-auth-entraid-approles,
340,apim-auth-entraid-with-approles,
341,App-Actions-On-Windows-Samples,
342,app-camp,JavaScript
343,app-center-app-react-native,JavaScript
344,app-center-app-shared,
345,app-center-app-xamarin,C#
346,app-dev-briefings,Java
347,App-Extensibility-Sample,C#
348,app-innovation-team,C#
349,app-innovation-workshop,C#
350,app-metadata,TypeScript
351,app-store-badge,HTML
352,app-store-vsts-extension,TypeScript
353,App-Templates,
354,appcenter,Shell
355,appcenter-build-scripts-examples,
356,appcenter-cli,TypeScript
357,appcenter-rest-python,Python
358,appcenter-sample-export,C#
359,appcenter-sampleapp-android,Java
360,appcenter-sampleapp-ios-swift,Swift
361,appcenter-sampleapp-macos-swift,Swift
362,appcenter-sampleapp-react-native,TypeScript
363,appcenter-sampleapp-tvos-swift,Swift
364,appcenter-sampleapp-xamarin,C#
365,appcenter-sdk-android,Java
366,appcenter-sdk-android-breakpad,C++
367,appcenter-sdk-apple,Objective-C
368,appcenter-sdk-cordova,Objective-C
369,appcenter-sdk-dotnet,C#
370,appcenter-sdk-react-native,JavaScript
371,appcenter-sdk-unity,C#
372,AppCenter-SDK-Unity-Extension,C#
373,AppCenter-Test-Appium-Java-Extensions,Java
374,AppCenter-Test-Espresso-Extensions,Java
375,AppCenter-Test-XCUITest-Extensions,Shell
376,appcenter-Xamarin.Forms-Gallery-Demo,C#
377,appcenter-Xamarin.UITest-Demo,C#
378,AppConsult-MSIXDevWorkshop,
379,AppConsult-Samples-MixedReality,C#
380,AppConsult-WinAppsModernizationWorkshop,C#
381,AppInsights.EnterpriseTelemetry,C#
382,AppInsights.EnterpriseTelemetry.AspNetCore.Extension,C#
383,appium,JavaScript
384,appium-windows-driver,JavaScript
385,apple-ux-guide,Swift
386,Application-Insights-Istio-Adapter,C#
387,Application-Insights-K8s-Codeless-Attach,TypeScript
388,Application-Insights-Workbooks,JSON
389,ApplicationInsights-Android,Java
390,applicationinsights-angularplugin-js,JavaScript
391,ApplicationInsights-Announcements,
392,ApplicationInsights-aspnetcore,C#
393,applicationinsights-channel-js,JavaScript
394,applicationinsights-core-js,JavaScript
395,ApplicationInsights-CPP,C++
396,ApplicationInsights-Docker,Java
397,ApplicationInsights-Docker-Dockerfile,Dockerfile
398,ApplicationInsights-dotnet,C#
399,ApplicationInsights-dotnet-logging,C#
400,ApplicationInsights-dotnet-server,C#
401,ApplicationInsights-Go,Go
402,ApplicationInsights-iOS,Objective-C
403,ApplicationInsights-Java,Java
404,ApplicationInsights-Java-Repros,Java
405,ApplicationInsights-JS,TypeScript
406,ApplicationInsights-JS-Mezzurite,HTML
407,ApplicationInsights-Kubernetes,C#
408,ApplicationInsights-LocalForwarder,C#
409,ApplicationInsights-node.js,TypeScript
410,ApplicationInsights-node.js-native-metrics,C++
411,ApplicationInsights-OSX,Objective-C
412,ApplicationInsights-PHP,PHP
413,ApplicationInsights-Profiler-AspNetCore,
414,ApplicationInsights-Python,Python
415,applicationinsights-react-js,JavaScript
416,applicationinsights-react-native,JavaScript
417,ApplicationInsights-Ruby,Ruby
418,ApplicationInsights-SAP-Fiori-Plugin,JavaScript
419,ApplicationInsights-SDK-Labs,C#
420,ApplicationInsights-ServiceFabric,C#
421,ApplicationInsights-SnapshotCollector,
422,ApplicationInsights-statsd,TypeScript
423,applicationinsights-vscode,
424,ApplicationInsights-WordPress,PHP
425,ApplicationInsights-Xamarin,C#
426,ApplicationInspector,C#
427,ApplicationInspector-Action,Shell
428,appliedai-rag101,Jupyter Notebook
429,AppliedRoboticsResearchLibrary,
430,AppModelSamples,
431,Appsample-Photosharing,C#
432,AppSource,
433,APRON,C
434,APSI,C++
435,APSINet,C#
436,APS_Query_Toolbox,
437,aqa-tests,HTML
438,aqafer,
439,AR2,Python
440,aragog,C++
441,arc-sql-mi-db-operator,Go
442,arc-switch,Go
443,arcade-background-scroll,TypeScript
444,arcade-block-objects,TypeScript
445,arcade-carnival,JavaScript
446,arcade-chaos-maze,TypeScript
447,arcade-character-animations,TypeScript
448,arcade-dom,TypeScript
449,arcade-forest-fire,TypeScript
450,arcade-grid,TypeScript
451,arcade-machine,TypeScript
452,arcade-machine-react,TypeScript
453,arcade-minimap,TypeScript
454,arcade-platformer,TypeScript
455,arcade-sprite-data,TypeScript
456,arcade-storytelling,TypeScript
457,arcade-swarm-animation,TypeScript
458,arcade-text,TypeScript
459,arcade-tile-util,TypeScript
460,arcade-timers,TypeScript
461,arcade-tutorial-extensions,JavaScript
462,arcana.cpp,C++
463,archai,Python
464,archived-confidential-sidecar-containers,Go
465,ArchProbe,C++
466,arcticseals,Jupyter Notebook
467,ardiffact,TypeScript
468,ArduinoHidForWindows,C++
469,ARGUS,Python
470,ARI,PowerShell
471,ark,C++
472,arm-debug-deployment-cleanup,PowerShell
473,Armada,C#
474,aro-migration-hackathon,Shell
475,aroundtheclock,
476,aroworkshop,SCSS
477,arr-grasp-type-recognition,Python
478,art,TypeScript
479,art-msra,Jupyter Notebook
480,artifacts-credprovider,C#
481,artifacts-credprovider-conda,
482,artifacts-keyring,Python
483,ARXGEN,Python
484,ArxivFormula,Python
485,asclepius,Jupyter Notebook
486,asconnect,Python
487,ASDET,Jupyter Notebook
488,ASL-citizen-code,Python
489,ASL-STEM-Wiki,Python
490,aspnet-docker,Dockerfile
491,AspNetCoreInjection.TypedFactories,C#
492,ASRDFD,C
493,asrr_tools,
494,assent-app,C#
495,assessment,C#
496,asset-bundle-stats,
497,assistant-pf-demo,Python
498,ASTRA,Python
499,Asynchronous_impulse_response_measurement,MATLAB
500,ATA-Auditing,
501,ATAC,Python
502,Athena,
503,Atlas,C#
504,atlas-design,SCSS
505,atp-edu,Jupyter Notebook
506,attacksimulationandtraining,PowerShell
507,AttackSurfaceAnalyzer,C#
508,AttentionEngine,Python
509,Attestation-Client-Samples,C++
510,attested-fetch,C++
511,attested-ohttp-client,Rust
512,attested-ohttp-server,Rust
513,attribute-structuring,Python
514,audio,PowerShell
515,Audio-Manager-for-Unity,C#
516,audio-recorder,C#
517,AudioEntailment,
518,AuditBuddy,C#
519,augmented-interpretable-models,Jupyter Notebook
520,aui-cli,Python
521,auoms-kits,Shell
522,Aura,Python
523,aurora,Python
524,aurorabp-sample-data,Jupyter Notebook
525,AustraliaBuildingFootprints,
526,auteur,Rust
527,authentication-events-function,C#
528,authentication-events-sdk-function,C#
529,AuthJanitor,C#
530,Auto-Formula,
531,auto-github-docs-generator,Jupyter Notebook
532,auto-resume-builder,Python
533,Auto-retinoscopy,Python
534,auto-sys-ml-template,Python
535,Auto-Validate-by-History,Jupyter Notebook
536,AutoBaseliningIntTestGitHub,PowerShell
537,AutoBrewML,Jupyter Notebook
